SerialNumber, acc: x_acc, y_acc, z_acc, gyro: x_value, y_value, z_value
534, 11956, -0.26, 0.22, 0.83
535, 11979, -0.25, -0.15, 0.80
536, 12002, -0.53, -0.18, 0.84
537, 12025, -0.32, 0.09, 0.98
538, 12048, 0.14, 0.13, 0.98
539, 12072, 0.33, 0.05, 1.01
540, 12095, 0.13, -0.04, 1.05
541, 12118, -0.09, -0.12, 1.06
542, 12141, -0.08, -0.01, 1.07
543, 12166, 0.13, 0.00, 1.18
544, 12189, 0.26, -0.10, 1.14
545, 12212, 0.06, -0.01, 1.19
546, 12236, 0.13, 0.07, 1.41
547, 12259, 0.29, -0.02, 1.55
548, 12282, 0.42, -0.03, 1.48
549, 12305, 0.31, 0.17, 1.37
550, 12328, 0.34, 0.32, 1.00
551, 12351, 0.22, 0.61, 0.85
552, 12375, 0.24, 0.84, 0.66
553, 12398, 0.11, 0.98, 0.77
554, 12421, 0.68, 0.99, 1.13
555, 12444, 0.51, 0.50, 1.79
556, 12467, -0.42, -0.09, 1.05
557, 12491, -1.30, 0.14, -0.02
558, 12514, -1.03, -0.60, -0.26
559, 12539, -0.58, -0.55, 0.42
560, 12562, -0.51, -0.67, 0.71
561, 12585, -0.67, -1.02, 0.64
562, 12608, -0.90, -0.93, 0.50
563, 12631, -0.83, -1.02, 0.58
564, 12655, -0.27, -1.32, 1.01
565, 12678, 0.38, -0.90, 0.89
566, 12701, 0.08, 0.12, 0.56
567, 12724, -0.50, 0.99, 0.44
568, 12747, -0.57, 0.69, 1.11
569, 12770, -0.16, -0.10, 1.18
570, 12794, -0.66, -0.37, 0.48
571, 12817, -0.42, -0.36, 0.98
572, 12840, -0.39, -0.26, 0.64
573, 12863, 1.05, 0.99, 1.15
574, 12886, 0.78, 0.99, 0.34
575, 12909, 0.39, -0.24, 0.46
576, 12934, -0.94, -0.67, 0.47
577, 12957, -1.72, -0.06, 1.13
578, 12980, -1.01, 0.43, 1.02
579, 13004, -0.10, 0.09, 0.61
580, 13027, -0.38, -0.27, 0.69
581, 13050, -0.61, -0.01, 0.85
